age,purchase_history,rating,current_merchant_id,bonus_to_offer
29.0,"[['art and crafts', 897.7], ['art and crafts', 273.1], ['party supplies', 730.1], ['industrial and scientific', 76722.5], ['garden and outdoor', 16087.7], ['industrial and scientific', 78409.9], ['garden and outdoor', 14432.0], ['art and crafts', 584.7], ['office supplies', 5113.1], ['industrial and scientific', 9281.3], ['baby and kids', 24.5], ['travel and leisure', 1221.8]]",4.293411264714966,405,welcome
21.0,"[['office supplies', 6959.1], ['automotive', 26577.4], ['automotive', 16142.1], ['pet supplies', 791.9], ['music', 264.4], ['pet supplies', 511.7], ['pet supplies', 407.6], ['automotive', 28208.2], ['office supplies', 3971.0], ['travel and leisure', 2300.5], ['pet supplies', 128.1], ['automotive', 45757.6], ['office supplies', 8899.9], ['travel and leisure', 5927.7], ['office supplies', 5592.9], ['health and wellness', 672.9], ['office supplies', 4499.7], ['automotive', 85812.1], ['office supplies', 3246.9], ['pet supplies', 331.5], ['automotive', 27445.9], ['pet supplies', 91.4], ['automotive', 35859.5]]",3.911829900266828,677,
31.0,"[['party supplies', 521.6], ['industrial and scientific', 93053.6], ['garden and outdoor', 12027.9], ['baby and kids', 648.9], ['garden and outdoor', 749.7], ['art and crafts', 555.6], ['industrial and scientific', 13837.5], ['party supplies', 728.1], ['party supplies', 670.5], ['party supplies', 162.8], ['art and crafts', 343.6], ['baby and kids', 630.5], ['industrial and scientific', 34485.8], ['garden and outdoor', 4243.4], ['industrial and scientific', 18632.2], ['baby and kids', 483.0]]",4.016069219169649,462,early-access
46.0,"[['beauty and personal care', 41.4], ['fashion', 2786.7], ['home and kitchen', 10336.9], ['sports and fitness', 2216.0], ['beauty and personal care', 101.1], ['electronics', 8101.7], ['fashion', 1836.7], ['fashion', 2815.7], ['fashion', 2218.7], ['beauty and personal care', 47.9], ['electronics', 2219.2], ['beauty and personal care', 134.1], ['home and kitchen', 4202.8], ['fashion', 52.0], ['fashion', 7159.2], ['electronics', 5214.7], ['electronics', 5327.3], ['fashion', 5175.1], ['home and kitchen', 11645.1], ['fashion', 3366.5], ['fashion', 6543.9], ['electronics', 8860.9], ['beauty and personal care', 81.1], ['sports and fitness', 4043.8], ['fashion', 9565.9], ['home and kitchen', 5641.1]]",4.704216318136735,551,
23.0,"[['party supplies', 180.5], ['travel and leisure', 8512.9], ['garden and outdoor', 3531.9], ['industrial and scientific', 48533.5]]",4.437197772151274,713,discount
23.0,"[['garden and outdoor', 7450.1], ['baby and kids', 984.8], ['industrial and scientific', 77711.8], ['party supplies', 197.9], ['baby and kids', 914.7], ['garden and outdoor', 10544.4], ['industrial and scientific', 87068.5], ['industrial and scientific', 67686.4], ['industrial and scientific', 67346.3], ['industrial and scientific', 2055.0], ['baby and kids', 867.8], ['baby and kids', 472.8], ['art and crafts', 30.5], ['music', 5015.5], ['garden and outdoor', 19382.0], ['art and crafts', 702.5], ['art and crafts', 846.6], ['garden and outdoor', 1142.8], ['industrial and scientific', 89676.1], ['baby and kids', 144.7], ['travel and leisure', 9643.4], ['travel and leisure', 5579.5], ['education and learning', 3550.4], ['baby and kids', 785.4], ['baby and kids', 569.3], ['baby and kids', 613.8], ['garden and outdoor', 1901.5], ['art and crafts', 33.1], ['garden and outdoor', 1041.1], ['baby and kids', 79.8], ['garden and outdoor', 8092.2], ['garden and outdoor', 1042.6], ['party supplies', 861.2], ['art and crafts', 822.0], ['baby and kids', 957.3], ['baby and kids', 306.6], ['garden and outdoor', 6199.1], ['office supplies', 5580.7], ['education and learning', 7370.5], ['art and crafts', 452.6], ['baby and kids', 704.6], ['industrial and scientific', 38248.9], ['industrial and scientific', 61194.2], ['garden and outdoor', 1875.9], ['baby and kids', 113.0], ['art and crafts', 84.7]]",2.630835302389057,311,early-access
48.0,"[['fashion', 7642.1], ['fashion', 4848.5], ['home and kitchen', 17213.5], ['electronics', 1044.2]]",3.470376701854721,238,welcome
33.0,"[['baby and kids', 298.6], ['baby and kids', 568.0], ['industrial and scientific', 83527.8], ['industrial and scientific', 28671.8], ['art and crafts', 640.1], ['art and crafts', 541.3], ['industrial and scientific', 25934.9]]",4.252858475061688,817,cashback
27.0,"[['fashion', 7960.5], ['toys and games', 359.6], ['sports and fitness', 4691.2], ['books and media', 869.4], ['sports and fitness', 2420.9], ['home and kitchen', 11951.7], ['food and beverages', 58.6], ['toys and games', 992.0], ['home and kitchen', 17831.2], ['beauty and personal care', 331.5], ['sports and fitness', 2223.5], ['food and beverages', 66.4], ['beauty and personal care', 100.5], ['sports and fitness', 2505.1], ['toys and games', 64.2], ['home and kitchen', 3719.3], ['fashion', 5758.7], ['books and media', 697.2], ['sports and fitness', 2634.2], ['food and beverages', 4.8], ['books and media', 353.8], ['beauty and personal care', 262.5], ['food and beverages', 86.1], ['home and kitchen', 16500.1], ['books and media', 185.9], ['toys and games', 833.9], ['sports and fitness', 2368.0], ['books and media', 838.3], ['automotive', 64859.2], ['books and media', 381.7], ['toys and games', 158.0], ['food and beverages', 9.4], ['home and kitchen', 8789.7], ['beauty and personal care', 107.1], ['toys and games', 288.3], ['books and media', 945.5], ['sports and fitness', 2538.1], ['beauty and personal care', 99.3], ['fashion', 686.3], ['toys and games', 789.2], ['home and kitchen', 11663.6], ['toys and games', 584.6], ['books and media', 427.9], ['fashion', 1669.9], ['books and media', 678.4], ['toys and games', 684.6]]",3.710320930935765,968,welcome
28.0,"[['office supplies', 5933.2], ['art and crafts', 666.2], ['baby and kids', 937.2], ['pet supplies', 815.5], ['office supplies', 3107.1], ['food and beverages', 60.6], ['music', 529.4], ['travel and leisure', 8999.7], ['office supplies', 8821.0], ['automotive', 30236.1], ['office supplies', 2410.9], ['music', 6825.5], ['travel and leisure', 61.0], ['music', 4120.1], ['music', 3022.2], ['office supplies', 617.2], ['office supplies', 3014.7], ['automotive', 36769.1], ['office supplies', 8223.5], ['office supplies', 8146.1], ['health and wellness', 869.6], ['travel and leisure', 1266.6], ['music', 1985.3], ['health and wellness', 165.7], ['art and crafts', 613.0], ['office supplies', 2758.1], ['pet supplies', 810.3], ['automotive', 94496.7], ['pet supplies', 26.0], ['office supplies', 4674.1], ['music', 9752.0], ['art and crafts', 558.7], ['food and beverages', 79.6], ['pet supplies', 538.3], ['pet supplies', 746.0], ['travel and leisure', 1649.0], ['office supplies', 6672.4], ['music', 8116.6], ['music', 7344.1], ['health and wellness', 314.5], ['pet supplies', 337.4], ['art and crafts', 976.2], ['music', 9231.6], ['art and crafts', 519.5]]",2.9121120264635305,147,
26.0,"[['beauty and personal care', 276.4], ['beauty and personal care', 458.9], ['beauty and personal care', 331.0], ['electronics', 4872.2], ['electronics', 9722.3], ['fashion', 4577.3], ['fashion', 9401.5], ['fashion', 2257.5], ['beauty and personal care', 182.9], ['electronics', 7214.0], ['fashion', 3948.9], ['fashion', 2897.3], ['fashion', 2968.1], ['fashion', 1508.1], ['electronics', 669.8], ['fashion', 8991.9], ['fashion', 6126.0], ['beauty and personal care', 253.0], ['electronics', 7012.0], ['sports and fitness', 4457.4], ['home and kitchen', 6600.2], ['beauty and personal care', 252.4], ['beauty and personal care', 28.0], ['fashion', 7802.5], ['beauty and personal care', 40.0], ['sports and fitness', 2105.5], ['sports and fitness', 3589.6]]",4.919224742864174,784,welcome
27.0,"[['home and kitchen', 13365.6], ['fashion', 165.6], ['toys and games', 192.7], ['beauty and personal care', 217.4], ['beauty and personal care', 318.0], ['electronics', 6065.9], ['beauty and personal care', 46.7], ['fashion', 2025.5], ['fashion', 4144.0], ['home and kitchen', 17730.5], ['fashion', 7900.4], ['beauty and personal care', 217.0], ['electronics', 9111.7], ['books and media', 766.2], ['electronics', 5566.9], ['fashion', 1049.9], ['home and kitchen', 9110.6], ['beauty and personal care', 388.2], ['home and kitchen', 2025.7], ['beauty and personal care', 63.5], ['beauty and personal care', 432.0], ['fashion', 3167.9], ['fashion', 7823.0], ['fashion', 2263.8], ['beauty and personal care', 284.3], ['fashion', 8032.5], ['fashion', 960.1], ['fashion', 5610.7], ['fashion', 4656.1], ['beauty and personal care', 225.8]]",4.685128254163002,697,early-access
24.0,"[['industrial and scientific', 6892.8], ['garden and outdoor', 10047.7], ['office supplies', 1723.9], ['art and crafts', 28.1], ['office supplies', 629.8], ['travel and leisure', 1091.1], ['pet supplies', 929.5], ['education and learning', 6758.6], ['art and crafts', 789.9], ['travel and leisure', 1742.3], ['office supplies', 3256.6], ['music', 1173.6], ['travel and leisure', 8688.5], ['art and crafts', 448.7], ['music', 8859.2], ['office supplies', 6457.0], ['garden and outdoor', 18306.3], ['art and crafts', 704.8], ['music', 5481.3], ['art and crafts', 14.8], ['travel and leisure', 3204.9], ['office supplies', 6235.9], ['garden and outdoor', 19913.9], ['art and crafts', 518.0], ['garden and outdoor', 13230.7], ['music', 9344.5], ['garden and outdoor', 2332.1], ['garden and outdoor', 10679.2], ['art and crafts', 788.0], ['baby and kids', 384.9], ['party supplies', 590.5], ['art and crafts', 707.7], ['garden and outdoor', 15300.7], ['pet supplies', 268.0]]",4.3445189646773,883,loyalty
54.0,"[['electronics', 216.0], ['sports and fitness', 4408.5], ['fashion', 5214.6], ['sports and fitness', 4794.3], ['home and kitchen', 6949.3], ['beauty and personal care', 16.5], ['beauty and personal care', 146.9], ['toys and games', 338.1], ['fashion', 4929.6], ['electronics', 1590.1], ['home and kitchen', 13540.5], ['fashion', 763.5], ['home and kitchen', 4653.1], ['beauty and personal care', 7.7], ['home and kitchen', 10798.5], ['sports and fitness', 1078.7], ['beauty and personal care', 302.0], ['home and kitchen', 11287.7], ['beauty and personal care', 393.7], ['fashion', 6978.8], ['beauty and personal care', 29.0], ['beauty and personal care', 261.4], ['fashion', 8613.8], ['fashion', 672.8], ['beauty and personal care', 476.1], ['home and kitchen', 19838.8], ['home and kitchen', 8467.3], ['fashion', 3158.8], ['books and media', 845.9], ['fashion', 8678.5], ['beauty and personal care', 412.7], ['home and kitchen', 16213.7], ['beauty and personal care', 342.0], ['home and kitchen', 691.9], ['beauty and personal care', 290.8], ['beauty and personal care', 143.1], ['home and kitchen', 11916.4], ['fashion', 3024.6], ['home and kitchen', 5791.3], ['sports and fitness', 1298.4], ['fashion', 3764.8], ['electronics', 3730.4], ['sports and fitness', 4318.8], ['toys and games', 408.2], ['beauty and personal care', 185.3], ['toys and games', 257.9], ['sports and fitness', 2738.4], ['fashion', 3600.7], ['home and kitchen', 19565.5]]",4.992466543007827,994,early-access
49.0,"[['food and beverages', 81.1], ['books and media', 696.4], ['food and beverages', 50.0], ['food and beverages', 54.1], ['books and media', 572.9], ['books and media', 763.3], ['office supplies', 1159.6], ['sports and fitness', 2597.9], ['pet supplies', 222.9], ['books and media', 907.2], ['toys and games', 917.6], ['food and beverages', 20.3], ['automotive', 87857.0], ['travel and leisure', 7360.0], ['food and beverages', 51.0], ['food and beverages', 74.0], ['books and media', 79.7], ['pet supplies', 934.5], ['pet supplies', 606.1], ['health and wellness', 23.6], ['food and beverages', 38.9], ['books and media', 414.1], ['health and wellness', 876.3]]",4.9970886257417195,54,up-sell
29.0,"[['office supplies', 6852.4], ['music', 3611.0], ['travel and leisure', 8581.7], ['music', 4509.5], ['music', 8480.5], ['health and wellness', 865.2]]",4.7613271245818645,601,up-sell
38.0,"[['pet supplies', 675.2], ['pet supplies', 531.2], ['music', 1782.7], ['art and crafts', 537.3], ['music', 3798.8], ['pet supplies', 223.8], ['pet supplies', 851.9], ['office supplies', 8240.2], ['health and wellness', 682.1], ['travel and leisure', 1943.6], ['music', 4033.6], ['automotive', 74121.3], ['art and crafts', 795.3], ['office supplies', 9231.6], ['health and wellness', 166.7], ['music', 3230.0], ['office supplies', 1795.6], ['office supplies', 9831.3], ['music', 8058.6], ['automotive', 45226.4], ['art and crafts', 688.5], ['travel and leisure', 7904.3], ['art and crafts', 677.2], ['art and crafts', 153.9], ['office supplies', 52.0], ['pet supplies', 833.5], ['office supplies', 6788.5], ['automotive', 86440.0], ['office supplies', 1492.4], ['office supplies', 3569.3], ['automotive', 25131.1], ['music', 8095.7], ['art and crafts', 465.2], ['pet supplies', 963.2], ['books and media', 967.0], ['travel and leisure', 7397.2], ['pet supplies', 420.0], ['books and media', 753.4], ['automotive', 12925.6]]",4.572555668546835,793,
24.0,"[['party supplies', 232.3], ['party supplies', 233.8], ['education and learning', 3332.5], ['art and crafts', 908.2], ['garden and outdoor', 2408.4], ['party supplies', 919.1], ['industrial and scientific', 27511.0], ['party supplies', 636.0], ['industrial and scientific', 21341.1], ['party supplies', 148.4], ['industrial and scientific', 22363.6], ['industrial and scientific', 46559.2], ['industrial and scientific', 80916.9], ['party supplies', 98.7]]",4.659763494501472,72,gift
